序号,硬币,先后,胜负,卡组,时间
1,赢币,先攻,胜利,,20251010-173146
2,输币,先攻,失败,,20251010-173239
3,赢币,先攻,失败,,20251010-173326
4,输币,后攻,胜利,,20251010-173711
5,输币,后攻,失败,,20251010-200422
6,赢币,先攻,胜利,,20251011-194129
7,输币,后攻,失败,,20251011-194824
8,赢币,后攻,失败,,20251011-195127
9,赢币,先攻,胜利,,20251011-195503
10,赢币,后攻,胜利,,20251011-195710
11,输币,先攻,胜利,,20251011-195922
12,赢币,先攻,失败,,2024
13,赢币,先攻,失败,,20251012-021003
14,输币,先攻,胜利,,20251012-023952
15,输币,后攻,失败,,20251012-024159
16,赢币,先攻,失败,,20251012-155426
17,赢币,后攻,胜利,,20251012-160051
18,赢币,后攻,胜利,,20251012-160606
19,赢币,后攻,胜利,,20251012-160738
20,赢币,后攻,胜利,,20251012-160900
21,赢币,先攻,胜利,,20251012-163615
22,赢币,后攻,胜利,,20251012-163837
23,赢币,后攻,失败,,20251012-184501
24,赢币,后攻,失败,,20251012-195123
25,赢币,后攻,胜利,,20251012-200051
26,赢币,后攻,胜利,,20251012-200406
